,Interval,Time_min,video,0,0,0,0,0,0
0,1,0.0,1606,8.79452776539e-05,0.00199614728862,0.00163047286311,0.000472177724575,3.09379068605e-05,0.000721402238769
1,2,0.5,1606,3.54805211292e-05,0.000245346781763,0.000260673031971,0.00214718627714,9.32847458224e-06,0.00407403051039
2,3,1.0,1606,0.000962585847263,0.000264470712805,0.000115945374233,0.000555900408789,0.000679521690653,0.00172291246487
3,4,1.5,1606,0.00078504692011,0.00154927591967,0.00248553070359,8.0450120967e-05,0.000238129411131,0.00130177458741
4,5,2.0,1606,0.000122713341658,0.000508408819654,0.000127949981305,0.000120223715996,5.19652714304e-06,0.000523228790403
5,6,2.5,1606,0.000299278850088,0.00012821785795,2.6823274523e-05,0.00320869057505,4.7073980015e-05,0.000614653381132
6,7,3.0,1606,0.00360207128674,0.00297823801711,0.00325173870617,0.000199029251033,9.52357316797e-06,0.00214379513482
7,8,3.5,1606,0.000185179296956,0.000308223572509,0.0033049841313,0.000940350102209,3.86612341474e-07,9.4419828767e-05
8,9,4.0,1606,9.75013628576e-05,0.00103600578411,6.72341605369e-05,2.17767842967e-05,0.00123964176996,0.00307459612117
9,10,4.5,1606,1.26966775407e-05,0.00230384637466,2.85193842724e-05,0.000996573994512,0.000786639484783,0.00174764489012
10,11,5.0,1606,4.05807051621e-05,7.88434727594e-06,0.00148297593881,0.000194803184259,0.00182388345002,0.000184264735438
11,12,5.5,1606,0.00137829779514,0.000398909374662,0.00104496107907,0.000112511165699,8.31582302685e-07,0.00151891834468
12,13,6.0,1606,0.000261962304851,8.07031823672e-05,0.000176797065018,0.00175828697616,0.000882836028166,0.00100728942818
13,14,6.5,1606,0.00111104781944,0.000108802047009,0.00423598194511,2.85763694909e-05,0.0115256194058,0.000553195377341
14,15,7.0,1606,0.000787248010495,0.00148310498599,0.000310670911203,0.00140716891612,0.00150021695329,0.00061192765859
15,16,7.5,1606,0.000211526062891,0.00135370879857,0.000109057269599,0.000293167044126,4.01543031991e-06,0.00653128041282
16,17,8.0,1606,0.000233856329979,0.00466879452475,0.00273681115207,0.000599660999557,1.91532452749e-05,0.000130021943526
17,18,8.5,1606,0.000127922772851,0.00289770852832,0.00210937980295,3.01859070457e-05,0.00195999088947,0.000496642059826
18,19,9.0,1606,0.00272905346826,0.000980474419634,0.000546433430211,0.000167138005439,4.69203363305e-05,0.000999756104748
19,20,9.5,1606,0.000121195810132,5.95552584481e-06,5.97630323562e-07,1.2421773781e-05,2.54397462737e-05,3.57865895798e-05
20,21,10.0,1606,8.29595361855e-05,0.00134458225596,0.00215245790221,0.000589778850712,0.000554792102584,0.002146127181
21,22,10.5,1606,0.000131311785209,1.86916067846e-05,0.00015778234381,0.000719774989918,0.00020384700896,0.000430306703475
22,23,11.0,1606,0.000205152375327,0.00175836703201,0.000651291950047,7.15867598642e-05,0.000136887748939,0.000660930797232
23,24,11.5,1606,0.000277096727792,0.00114822036647,0.000624191010319,0.000667159724477,0.000646573459523,0.0013414085636
24,25,12.0,1606,0.0043014496542,0.000103861221128,0.00148065631885,0.000123319944835,0.00334512293377,0.00113758671368
25,26,12.5,1606,0.00240559496387,0.000744557013409,1.40147388005e-05,5.08318042644e-05,0.00529582613479,0.000380379002629
26,27,13.0,1606,0.00431831844308,0.00171717746131,0.000247435682051,9.0024255075e-06,0.00106120045936,6.9471051011e-05
27,28,13.5,1606,1.38169467597e-05,0.00828042147775,2.1222217971e-05,0.000352884495938,0.000297157957423,0.000121993050166
28,29,14.0,1606,0.00083645879251,0.000966634046877,0.000293340725554,0.000195930058941,0.000421116716558,0.00281705084178
29,30,14.5,1606,1.22940603626e-05,1.40468498885e-05,0.000624933731625,0.000441199071004,0.000547328382136,0.00078616107975
30,31,15.0,1606,3.24955135879e-05,0.00109023222741,0.0033927892321,9.17058046745e-05,0.000645356844178,0.0020436609027
31,32,15.5,1606,2.57286908307e-05,0.00171121332279,0.000503054998649,0.000253853696301,0.00145279727727,0.000761426605302
32,33,16.0,1606,8.35871237448e-07,0.000597666656847,0.00202719560264,0.000296091157038,0.00014679494366,0.00142550446314
